Strain;bams01;bams03;bams05;bams13;bams15;bams21;bams22;bams23;bams24;bams25;bams28;bams30;bams31;bams34;bams44;bams51;bams53;CG3;pXO1;pXO2;vntr12;vntr16;vntr17;vntr19;vntr23;vntr35;vrrA;vrrB1;vrrB2;vrrC1;vrrC2
AF559;8;30;3;45;45;10;16;11;11;13;14;57;56;8;8;9;8;2;10;9;6;20;3;4;4;4;4;20;14;57;14
AF592;8;30;3;45;45;10;16;11;11;13;14;57;41;8;8;9;8;2;15;9;6;20;3;4;4;4;4;20;14;57;17
AF614;8;30;3;45;45;10;16;11;11;13;14;57;56;8;8;9;8;2;10;6;6;20;3;4;4;4;4;20;14;57;17
AF615;16;28;7;76;46;10;14;11;11;13;14;51;65;11;8;9;8;2;9;NA;6;12;NA;4;3;5;4;20;14;53;17
AF73;8;30;3;45;44;10;16;10;11;13;14;57;56;8;7;9;8;2;10;9;6;20;3;4;4;4;4;20;14;57;17
AF77;16;30;5;70;45;10;16;11;11;13;14;48;59;9;8;9;8;2;10;13;6;20;3;4;5;4;4;20;14;57;17
AF87;8;30;3;45;44;10;16;10;11;13;14;57;56;8;7;9;8;2;10;10;6;20;3;4;4;4;4;20;14;57;17
AH10_07/2010;16;18;6;76;43;10;15;11;0;13;14;71;65;9;2;9;8;2;6;NA;6;NA;NA;5;4;2;6;20;14;53;17
AH14_2010;16;18;6;76;43;10;15;11;0;13;14;71;64;9;2;9;8;2;6;NA;6;NA;NA;5;3;2;6;20;14;52;17
AH2_DS_2010/48;10;18;6;33;43;12;15;11;0;13;14;71;59;9;2;9;8;2;6;NA;6;NA;NA;5;3;2;6;20;14;53;17
AH26_10/2010;10;18;6;33;43;12;15;11;11;13;14;71;64;9;2;9;8;2;6;6;6;21;4;5;4;2;6;20;14;57;17
AH56_2010;10;18;6;33;43;12;15;11;11;13;14;71;59;9;2;9;8;2;12;6;6;21;4;5;3;2;6;20;14;53;17
AH77_2010;10;18;6;33;43;12;15;11;11;13;14;71;65;9;2;9;8;2;6;6;6;21;4;5;4;2;6;20;14;57;17
AH97_2010;10;18;6;33;43;12;15;11;11;13;14;71;64;9;2;9;8;2;6;6;6;21;4;5;2;2;6;20;14;53;17
Ames;16;26;5;70;24;10;16;11;11;13;14;57;64;11;8;9;8;2;7;10;6;20;4;4;4;5;4;20;13;53;17
Ames_plasmidless;16;26;5;70;24;10;16;11;11;13;14;57;64;11;8;9;8;2;NA;NA;6;NA;NA;4;4;5;4;20;13;53;17
AmesAncestor;16;26;5;70;24;10;16;11;11;13;14;57;64;11;8;9;8;2;7;9;6;20;4;4;4;5;4;20;13;53;17
AN17_14_S4;13;30;6;26;43;10;16;11;11;13;14;75;64;9;6;9;8;2;6;7;6;20;4;5;4;4;4;20;14;57;21
AN17_384_2;13;30;6;26;43;10;16;11;11;13;14;75;64;9;5;9;8;2;6;7;6;21;4;5;4;4;4;20;14;57;21
AN18_416_2;13;30;5;26;43;10;16;11;11;13;14;75;64;9;6;9;8;2;6;7;6;21;4;5;4;4;4;20;14;57;21
ANSES_00_82;14;27;6;27;42;10;13;10;10;13;14;17;84;8;8;6;6;2;9;6;5;22;3;5;3;5;3;19;14;53;17
ANSES_017;14;27;6;27;42;10;13;10;11;13;14;17;84;13;8;6;6;2;9;7;5;23;3;5;3;5;3;19;14;53;17
ANSES_030;13;30;7;31;45;10;16;11;11;13;14;72;65;9;8;9;8;1;8;8;6;20;4;5;4;4;3;20;14;57;21
ANSES_031;14;18;6;27;20;10;15;9;8;13;14;17;84;7;8;6;6;2;9;6;5;23;3;5;3;5;3;19;14;53;17
ANSES_032;13;30;7;31;45;10;16;11;11;13;14;75;64;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
ANSES_033;14;18;6;27;20;10;15;10;8;13;14;17;69;7;6;6;6;2;9;6;5;23;3;5;3;5;3;19;14;53;17
ANSES_034;13;30;7;27;45;10;16;11;11;13;14;72;65;9;8;9;8;1;8;8;6;20;4;5;4;4;3;20;14;57;21
ANSES_041;14;18;6;27;20;10;13;10;8;13;14;17;69;7;8;6;6;2;9;6;5;22;3;5;3;5;3;19;14;53;17
ANSES_051;14;27;6;27;42;10;15;10;11;13;14;17;84;11;8;6;6;2;9;7;5;24;3;5;3;5;3;19;14;53;17
ANSES_052;16;28;7;27;45;10;16;11;11;13;14;53;59;9;8;9;8;2;7;12;6;20;3;4;3;5;4;20;14;53;17
ANSES_054;16;28;7;27;45;10;16;11;11;13;14;31;59;11;8;9;8;2;9;9;6;20;3;4;4;5;4;20;14;53;17
ANSES_056;13;30;6;30;45;10;16;11;11;13;14;78;64;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
ANSES_059;13;30;7;31;45;10;16;11;11;13;14;72;64;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
ANSES_060;13;30;7;31;45;10;16;11;11;13;14;69;64;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
ANSES_061;13;30;7;30;45;10;16;11;11;13;14;72;64;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
ANSES_063;14;18;6;27;20;10;15;10;8;13;14;17;70;7;8;6;6;2;9;6;5;23;3;5;3;5;3;19;14;53;17
ANSES_08_20;16;28;7;76;42;10;16;11;11;13;14;51;65;11;8;9;8;2;10;8;6;4;4;4;3;5;2;20;14;53;17
ANSES_08_29;16;28;7;76;45;10;16;11;11;13;14;51;65;11;8;9;8;2;10;8;6;4;4;4;3;5;2;20;14;53;17
ANSES_086;13;30;8;31;45;10;16;11;11;13;14;78;64;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
ANSES_088;13;30;7;31;45;10;16;11;11;13;14;75;64;9;8;9;8;1;5;8;6;20;5;5;4;4;4;20;14;57;21
ANSES_089;13;28;7;31;37;10;16;11;11;13;14;78;65;9;8;9;8;1;8;8;6;20;4;5;4;4;3;20;14;57;21
ANSES_09_15;13;30;7;31;45;10;16;11;11;13;14;78;64;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
ANSES_09-46;13;18;6;27;20;10;11;10;8;13;14;17;84;7;8;6;6;2;9;6;5;22;3;5;3;5;3;19;14;53;17
ANSES_090;13;30;7;31;45;10;16;11;11;13;14;75;64;9;8;9;8;1;7;8;6;20;4;5;4;4;4;20;14;57;21
ANSES_091;13;21;6;23;43;10;11;11;8;13;14;60;64;9;6;9;8;2;6;6;6;22;4;5;4;4;2;20;15;57;21
ANSES_092;13;30;6;31;37;10;16;11;11;13;14;78;65;9;8;9;8;1;6;8;6;20;4;5;4;4;4;20;14;57;21
ANSES_095;13;30;7;31;41;10;16;11;11;13;14;75;64;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
ANSES_100;13;NA;7;30;24;10;14;11;8;13;14;NA;65;7;8;8;8;1;8;7;6;20;4;5;4;4;4;20;14;57;21
ANSES_102;13;30;5;31;45;10;16;11;11;13;14;75;64;9;8;9;8;1;8;8;6;20;4;5;4;4;4;16;14;57;21
ANSES_104;13;28;7;31;36;10;16;11;11;13;14;75;65;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
ANSES_118;13;30;7;30;45;10;16;11;11;13;14;75;64;9;8;9;8;1;NA;8;6;20;4;5;4;4;4;20;14;57;21
ANSES_119;14;17;6;27;20;10;14;10;8;13;14;17;64;7;8;6;6;2;9;7;5;23;3;5;3;6;3;19;14;53;17
ANSES_121;14;27;6;27;42;10;15;10;11;13;14;17;84;13;8;6;6;2;9;7;5;23;3;5;3;5;3;19;14;53;17
ANSES_122;13;30;7;20;45;10;16;11;11;13;14;77;64;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
ANSES_123;14;26;6;27;42;10;15;10;11;13;14;17;64;9;8;8;6;2;9;8;5;23;3;5;3;6;3;19;14;53;17
ANSES_124;13;30;7;31;45;10;16;11;11;13;14;78;65;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
ANSES_126;14;27;6;27;42;10;15;10;11;13;14;17;84;9;8;8;6;2;9;8;5;23;3;5;3;6;3;19;14;53;17
ANSES_136;13;30;7;31;45;10;16;11;11;13;14;70;65;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
ANSES_139;14;27;6;27;42;10;15;10;11;13;14;17;85;13;8;6;6;2;9;7;5;23;3;5;3;5;3;19;14;53;17
ANSES_140;14;27;6;27;42;10;13;10;11;13;14;17;84;13;8;6;6;2;9;7;5;22;3;5;3;5;3;19;14;53;17
ANSES_144;13;28;7;31;36;10;16;11;11;13;14;78;65;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
ANSES_90;10;27;6;23;45;10;17;9;0;13;14;0;64;7;7;8;8;1;7;7;6;20;4;5;4;4;4;20;14;90;25
ANSES_Sterne;16;28;7;76;45;10;16;11;11;13;14;53;65;11;8;9;8;2;9;NA;6;NA;NA;4;3;5;4;20;14;53;17
Antigen34;13;30;7;29;44;10;16;11;11;13;14;75;64;9;8;9;8;1;NA;NA;6;NA;NA;5;4;4;5;20;14;57;21
ASC58;8;30;3;45;44;10;16;10;11;13;14;57;56;8;7;9;8;2;11;9;6;20;3;4;4;4;4;20;14;57;17
ASC74;8;30;3;44;44;10;16;11;11;13;14;57;56;8;8;9;8;2;10;9;6;20;3;4;4;4;4;20;14;57;17
ASC75;8;30;3;45;44;10;16;10;11;13;14;57;56;8;7;9;8;2;11;10;6;20;3;4;4;4;4;20;14;57;17
ASC77;8;30;3;45;44;10;16;10;11;13;14;60;56;8;7;9;8;2;11;9;6;20;3;4;4;4;4;20;14;57;17
Australia94;16;30;7;73;45;10;13;11;11;13;14;54;64;9;8;9;8;2;8;8;6;20;3;4;3;4;4;16;14;57;17
AX/2012/275;10;18;6;33;43;12;15;11;11;13;14;69;64;9;8;9;8;2;6;4;6;21;4;5;2;4;4;20;14;46;17
AX/2012/309;10;18;6;33;43;11;15;11;11;13;14;69;64;9;8;9;8;2;6;4;6;21;4;5;2;4;4;20;14;46;17
AX/2012/435;10;18;6;33;43;11;15;11;11;13;14;69;64;9;8;9;8;2;6;4;6;21;4;5;2;4;4;20;12;46;17
B_a_3Ya;13;24;7;30;45;10;13;9;11;13;14;66;64;9;8;9;8;1;10;10;6;20;4;4;5;4;5;20;14;57;21
B10;11;27;6;28;45;12;13;10;11;13;13;69;65;9;8;9;6;2;6;9;5;24;3;5;3;3;3;23;15;53;17
B26;11;18;6;33;43;12;15;11;11;13;14;69;64;9;2;9;8;2;6;6;6;21;4;5;4;4;6;20;14;57;17
B7;11;27;6;28;45;12;13;10;11;13;13;6;65;9;8;6;6;2;6;9;5;24;3;5;3;3;3;23;15;53;17
BA_C10_CHER;13;30;7;30;45;10;14;9;11;13;14;75;64;9;8;9;8;1;7;9;6;20;5;4;5;4;4;20;14;57;21
BA_D12_MEL;13;30;7;27;45;10;14;9;11;13;14;66;64;9;8;9;8;1;7;10;6;20;4;4;5;4;5;20;14;57;21
BA_S12_SU;13;30;6;30;45;10;14;9;11;13;14;84;64;9;8;9;8;1;7;9;6;20;4;4;5;4;5;16;14;57;21
Ba0002;13;30;7;30;45;10;16;11;11;13;13;75;64;9;8;9;8;1;7;11;6;20;4;4;4;4;4;20;14;57;21
Ba0003;13;30;7;30;24;10;16;11;11;13;14;75;64;9;8;9;8;1;7;8;6;20;4;5;4;4;4;20;14;57;21
Ba0004;13;30;7;30;45;10;16;11;11;13;14;75;64;9;8;8;8;1;7;8;6;20;4;5;4;4;4;20;13;57;21
Ba0005;13;30;7;30;24;10;16;11;11;13;14;75;64;9;8;9;8;1;8;8;6;21;5;5;4;5;4;20;14;57;21
Ba0007;13;30;7;30;45;10;16;11;10;13;14;75;56;9;6;9;8;1;7;8;6;20;4;5;4;4;2;20;14;57;21
Ba0008;13;30;7;30;45;10;16;11;10;13;14;75;64;9;6;9;8;1;7;8;6;21;4;5;4;4;2;20;14;57;21
Ba0015;13;30;7;30;45;10;16;11;11;13;14;75;64;9;8;10;8;1;7;8;6;20;4;4;4;4;4;20;14;57;21
Ba0019;13;30;7;30;45;10;16;11;11;13;13;75;65;9;8;9;8;1;7;8;6;19;4;4;4;4;4;20;14;57;21
Ba0022;13;30;7;30;45;10;16;11;11;13;13;72;64;9;8;9;8;1;7;8;6;5;4;4;4;4;4;20;14;57;21
Ba0025;13;30;7;30;44;10;16;11;9;13;14;75;65;9;8;9;8;1;7;8;6;20;4;5;4;4;4;20;14;57;21
Ba0028;13;30;7;30;23;10;16;11;11;13;14;75;64;9;8;8;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
Ba0029;13;30;7;30;45;10;16;11;10;13;14;72;65;9;8;9;8;1;7;9;6;20;4;5;4;4;4;20;14;57;21
Ba0030;13;30;7;30;45;10;16;11;11;13;14;75;65;9;8;9;8;1;7;8;6;20;4;5;4;4;4;20;14;57;21
Ba0031;13;30;7;30;46;10;16;11;11;13;13;75;64;9;8;9;8;1;7;8;6;20;5;4;4;4;4;20;14;57;21
Ba0032;13;30;7;30;45;10;16;11;10;13;13;75;64;9;8;9;8;1;7;8;6;20;5;4;4;4;4;20;14;57;21
Ba0034;13;30;5;30;45;10;16;11;11;13;13;75;49;9;8;9;8;1;7;8;6;20;5;4;4;4;4;20;14;57;21
Ba0036;13;30;7;30;24;10;16;11;11;13;14;75;64;9;8;9;8;1;8;8;6;21;5;5;4;4;4;20;14;57;21
Ba0037;13;30;5;30;45;10;16;11;11;13;13;75;64;9;8;9;8;1;7;8;6;20;4;4;4;4;4;20;14;57;21
Ba0040;13;30;7;30;45;10;16;11;11;13;13;75;64;9;8;9;8;1;7;8;6;20;5;4;4;4;4;20;14;57;21
Ba0041;13;30;5;30;45;10;16;11;11;13;13;75;64;9;8;9;8;1;7;8;6;20;6;4;4;4;4;20;14;57;21
Ba0042;13;30;7;30;45;10;16;11;11;13;14;75;64;9;8;8;8;1;8;8;6;20;4;5;4;4;4;20;13;57;21
Ba0045;13;30;5;30;45;10;16;11;11;13;14;75;55;9;8;9;8;1;7;8;6;19;4;5;4;4;4;20;14;57;21
Ba0048;13;30;7;30;45;10;16;10;11;13;14;69;64;9;8;9;8;1;8;8;6;20;4;4;4;4;4;20;14;57;21
Ba0050;11;30;6;31;43;10;16;10.5;11;13;13;75;15;11;6;9;8;2;7;8;6;21;4;5;3;4;5;20;15;57;21
Ba0051;13;30;3;30;45;10;16;11;11;13;14;75;65;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
Ba0052;13;30;7;30;24;10;16;11;11;13;14;78;64;9;8;9;8;1;8;8;6;20;5;5;4;4;4;20;14;57;21
Ba0053;13;30;7;30;45;10;16;11;11;13;14;75;65;9;8;9;8;1;7;7;6;20;4;5;4;4;4;20;14;57;21
Ba0058;13;30;7;30;24;10;16;11;11;13;14;75;64;9;8;9;8;1;7;8;6;21;5;5;4;4;4;20;14;57;21
Ba0059;13;30;7;30;27;10;16;11;11;13;13;75;64;9;8;9;8;1;7;8;6;20;4;4;4;4;4;20;14;57;21
Ba0061;13;30;7;30;24;10;16;11;11;13;13;75;64;9;8;9;8;1;8;8;6;21;5;5;4;4;4;20;14;57;21
Ba0062;13;30;7;30;23;10;16;5;11;13;13;75;64;9;8;8;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
Ba0068;13;30;7;21;27;10;16;11;11;13;14;75;65;9;8;9;8;1;7;8;6;20;4;5;3;4;4;20;14;57;21
Ba0123;13;30;5;30;45;10;16;11;11;13;14;75;64;9;8;9;8;1;8;8;8;20;4;5;4;4;4;20;14;57;21
Ba0124;13;30;7;30;45;10;16;11;11;13;14;75;64;9;8;9;8;1;8;8;8;20;4;5;4;4;4;20;14;57;21
Ba0133;13;30;7;30;43;10;16;11;10;13;14;75;64;9;6;9;8;1;7;8;6;20;4;5;4;5;2;20;14;57;21
Ba0145;13;30;7;28;45;10;14;11;11;13;14;75;64;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
Ba0152;13;30;7;30;45;10;16;11;11;13;14;75;64;9;8;9;8;1;10;8;6;20;4;5;4;4;4;20;14;57;21
Ba0176;13;30;7;30;45;10;16;11;10;13;14;75;64;9;6;9;8;1;6;8;6;20;4;5;4;4;2;20;14;57;21
Ba0182;13;30;7;30;45;10;16;11;11;13;14;75;55;9;8;9;8;1;7;8;6;20;4;5;4;4;4;20;14;57;21
Ba0183;13;30;7;30;41;10;16;11;11;13;14;75;64;9;6;8;8;1;7;8;6;20;5;5;4;4;4;20;14;57;21
Ba0185;13;30;7;28;45;10;16;11;11;13;14;75;64;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
Ba0187;14;27;6;19;42;10;15;10;11;13;14;17;81;11;8;6;6;2;8;7;5;22;3;5;3;5;3;15;14;53;17
Ba0288;13;30;7;30;45;10;14;11;11;13;14;75;64;9;8;7;8;1;7;8;6;20;4;5;4;4;4;20;14;57;17
Ba0314;13;30;7;30;45;10;16;11;11;13;13;75;64;9;8;9;8;1;7;8;6;20;4;4;4;4;4;20;14;57;21
Ba0426;13;30;7;30;45;10;16;11;11;13;13;75;64;9;8;9;8;1;7;9;6;20;4;4;4;4;4;20;15;57;21
Ba0440;13;30;7;30;45;10;16;11;11;13;14;66;64;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
Ba0660;13;30;7;30;45;10;16;11;11;13;14;75;64;9;8;9;8;1;7;8;6;20;4;5;4;4;4;20;14;57;21
Ba0662;13;30;7;30;45;10;16;11;10;13;14;75;64;9;6;9;8;1;7;8;6;20;4;5;4;4;2;20;14;57;21
Ba0718;13;30;7;30;45;10;16;10;11;13;14;72;65;9;8;9;8;1;7;8;6;20;4;5;4;4;4;20;14;57;21
Ba0720;13;30;7;30;38;10;16;11;11;13;13;75;65;9;8;9;8;1;7;9;6;20;4;5;4;4;4;20;14;57;21
Ba0721;13;30;7;30;38;10;16;11;11;13;14;75;65;9;8;9;8;1;7;9;6;20;4;5;4;4;4;20;14;57;21
Ba0725;13;30;7;30;45;10;16;11;11;13;14;75;65;9;8;9;8;1;7;8;6;20;4;5;3;4;4;20;14;57;21
Ba0732;13;30;7;30;43;10;16;11;10;13;14;75;64;9;6;9;8;1;6;8;7;20;4;5;4;4;2;20;14;57;21
BA1015;12;18;7;30;45;10;16;11;11;13;14;57;57;9;8;9;8;2;9;10;6;20;4;4;4;4;4;20;15;57;17
BA1035;11;27;6;28;45;10;13;10;11;13;13;6;64;1;8;6;6;2;7;10;5;24;3;5;3;3;3;23;15;53;17
BA20200413YY;16;28;7;44;45;10;16;11;11;13;14;57;64;11;8;9;8;2;8;9;6;20;4;4;4;5;4;20;14;53;17
BA2968;14;18;7;5;24;10;15;10;11;13;14;17;90;1;8;6;6;2;7;7;5;22;3;5;3;5;3;23;16;53;17
Ba4599;13;27;5;30;45;10;16;11;11;12;14;63;64;9;8;9;8;2;10;7;6;20;4;5;4;4;4;20;14;57;21
BA749;16;28;7;76;45;10;16;11;11;13;14;51;65;11;8;9;8;2;9;NA;6;NA;NA;4;3;5;4;20;14;53;17
BA754;13;25;7;35;45;10;15;11;9;13;14;51;65;9;8;9;8;2;9;NA;6;NA;NA;4;3;5;4;20;14;53;17
BA755;13;25;7;35;45;10;16;11;9;13;14;51;65;9;8;9;8;2;9;NA;6;NA;NA;4;3;5;4;20;14;53;17
BaML_1;13;28;7;29;45;10;16;11;11;13;14;63;64;9;8;9;8;1;NA;NA;6;NA;NA;5;4;4;3;16;14;57;21
BaML_10;13;30;7;30;45;10;14;9;11;13;14;72;64;9;8;9;8;1;NA;NA;6;NA;NA;5;4;4;4;20;14;57;6
BaML_16;13;30;7;31;45;10;16;11;11;13;11;72;64;9;8;9;8;1;8;7;6;20;4;5;4;4;3;20;14;57;21
BaML_36;14;21;6;8;42;10;15;10;11;13;14;17;84;13;8;6;6;2;NA;6;5;23;3;5;4;5;3;19;14;53;17
BaML_39;13;30;7;30;45;10;14;9;11;13;14;75;64;9;8;9;8;1;10;8;6;20;4;5;4;4;5;20;14;57;21
BaML_4;12;30;7;30;45;10;16;11;11;13;14;72;64;9;8;9;8;1;7;7;6;20;4;5;4;4;2;20;14;57;21
BaML_49;13;30;7;30;45;10;14;9;11;13;14;72;64;7;8;9;8;1;10;8;6;20;4;5;4;4;5;20;14;57;21
BaML_52;13;30;7;30;45;10;14;9;11;13;14;75;64;9;8;9;8;1;10;8;6;20;4;5;4;4;6;20;14;57;21
BaML_61;13;30;7;30;45;10;14;9;10;13;14;75;64;9;8;9;8;1;10;9;7;20;4;5;4;4;4;20;14;57;6
BaML_7;13;30;7;30;45;10;14;9;11;13;14;75;64;9;8;9;8;1;10;8;6;20;4;5;4;4;5;20;14;57;21
BaML_9;14;21;6;8;42;10;15;10;11;13;14;17;84;13;8;6;6;2;NA;NA;5;NA;NA;5;4;5;3;19;14;53;17
BF1;15;27;6;27;42;10;15;10;11;13;14;17;84;13;8;6;6;2;9;6;5;22;3;5;3;5;3;19;13;53;17
BF5;15;27;6;27;42;10;15;10;11;13;14;17;84;13;8;6;6;2;9;6;5;22;3;5;3;5;3;19;14;53;17
BFV;13;25;7;35;45;10;16;11;11;13;14;51;50;9;8;9;8;2;9;7;6;4;4;4;3;5;3;20;14;53;17
BH500;16;26;5;70;24;10;16;11;11;13;14;57;64;11;8;9;8;2;NA;NA;6;NA;NA;4;4;5;4;20;13;53;17
BHY1401;16;28;7;70;45;10;16;11;11;13;14;57;64;9;8;9;8;2;7;12;6;20;4;4;4;5;4;20;14;53;17
BUL12;13;30;7;29;45;10;16;11;11;13;14;75;64;9;8;9;8;1;10;7;6;20;4;5;4;4;5;20;14;57;21
BUL14;13;30;7;29;45;10;16;11;11;13;14;63;64;9;8;9;8;1;NA;NA;6;NA;NA;5;4;4;5;20;14;57;21
BUL19;13;30;7;29;24;10;16;11;11;13;14;72;40;9;8;9;8;1;10;7;6;20;4;5;4;4;5;20;14;57;21
BUL31;13;30;7;29;45;10;16;11;11;13;14;66;64;9;8;9;8;1;10;7;6;20;4;5;4;4;5;20;14;57;21
BUL32;13;30;7;29;44;10;16;11;11;13;14;75;64;9;8;9;8;1;NA;7;6;20;4;5;4;4;5;20;14;57;21
BUL40;13;27;7;30;24;10;16;11;11;13;14;78;64;9;8;9;8;1;NA;7;6;20;4;5;4;4;4;20;14;57;21
Bundesheer;16;26;5;70;24;10;16;11;11;13;14;57;64;11;8;9;8;2;7;9;6;20;4;4;4;5;4;20;13;53;17
C13;11;27;6;28;45;12;13;10;11;13;13;48;65;9;8;6;6;2;6;9;5;24;3;5;3;3;3;23;15;53;17
C14;10;18;6;33;43;12;15;11;11;13;14;6;64;9;7;9;8;2;6;6;6;21;4;5;4;4;6;20;14;57;17
Canadian_bison;13;27;7;30;41;10;16;11;11;13;14;81;64;9;12;9;8;1;8;6;6;21;4;5;4;4;3;20;14;57;21
Carbosap;13;30;6;30;45;10;16;11;11;13;14;75;64;9;8;9;8;1;8;8;6;20;4;5;4;4;4;20;14;57;21
CDC684;16;30;6;20;44;10;14;11;11;13;14;71;64;9;6;9;8;2;10;8;6;19;12;5;4;4;4;20;13;48;21
CDC78;16;28;7;76;46;10;16;11;11;13;14;51;65;11;8;9;8;2;9;9;6;20;3;4;3;5;4;20;14;53;17
ChBA30D;16;28;7;73;45;10;15;11;11;13;14;57;64;11;8;9;8;2;NA;9;6;19;4;4;4;5;4;20;14;53;17
CNEVA_9066;14;27;6;27;42;10;15;10;11;13;14;17;84;13;8;6;6;2;9;6;5;23;3;5;3;5;3;19;14;53;17
Cvac02;16;18;7;30;24;10;14;9;8;13;14;60;40;7;6;9;8;1;NA;NA;6;NA;NA;5;4;5;4;20;14;53;17
CVCC40202;13;30;7;30;45;10;14;9;11;13;14;78;40;7;8;9;8;1;10;7;6;20;4;5;4;5;4;20;14;57;17
CVCC40205;16;28;7;76;45;10;16;11;11;13;14;51;65;11;8;9;8;2;9;NA;6;NA;NA;4;3;5;4;20;14;53;17
CWH_147;7;28;6;76;45;10;16;11;11;13;14;51;50;11;8;9;8;2;10;7;6;3.875;4;4;3;5;4;20;14;53;17
CZC5;13;30;6;33;43;10;16;10;11;13;14;75;64;7;6;9;8;2;6;8;6;21;4;5;4;4;3;20;14;57;21
deltaStrene;16;28;7;76;45;10;16;11;11;13;14;51;65;11;8;9;8;2;NA;NA;6;NA;NA;4;3;5;4;20;14;53;17
DS_2010/06;10;18;6;70;43;12;15;11;11;13;14;71;64;9;2;9;8;2;6;4;5;21;4;5;4;2;6;20;14;57;17
DS_2010/116;10;18;6;70;43;12;15;11;11;13;14;71;64;9;2;9;8;2;6;4;5;21;4;5;5;2;6;20;14;57;17
DS_2010/17;10;30;6;70;43;12;15;11;11;13;14;71;64;9;2;9;8;2;6;4;5;21;4;5;4;2;6;20;14;57;17
DS_2010/39;10;29;6;70;43;12;15;11;11;13;14;71;64;9;2;9;8;2;6;4;5;21;4;5;4;2;6;20;14;57;17
DS_2010/64;16;18;6;70;43;12;15;11;11;13;14;71;64;9;2;9;8;2;6;4;5;21;4;5;4;2;6;20;14;57;17
DS_2010/83;13;18;6;70;43;12;15;11;11;13;14;71;64;9;2;9;8;2;6;4;5;21;4;5;4;2;6;20;14;57;17
DS_2011/47;10;18;6;28;43;12;15;11;11;13;14;71;64;9;2;9;8;2;6;6;6;21;4;4;4;2;6;20;14;57;17
DS/2013/17;10;18;6;33;43;12;15;11;11;13;14;69;64;9;8;9;8;2;6;4;6;21;4;5;2;4;4;20;15;46;17
DS/2013/31;10;27;6;33;43;12;15;11;11;13;14;69;64;9;8;9;8;2;6;4;6;21;4;5;4;4;4;20;14;46;17
DS/2013/32;10;18;6;33;43;12;15;11;11;13;14;69;64;9;8;9;8;2;6;4;6;24;4;5;3;4;4;20;14;46;17
DS/2013/38;10;18;6;33;43;12;15;11;11;13;14;69;64;9;8;9;8;2;6;9;6;21;4;5;4;4;3;20;14;46;17
ET2012;16;28;7;76;45;10;16;11;11;13;14;51;65;11;8;9;8;2;10;9;6;20;4;4;3;5;3;20;14;52;17
F09;10;18;6;33;43;12;15;11;11;13;14;69;64;9;2;9;8;2;6;7;6;21;4;5;4;4;6;20;14;57;17
FDAARGOS_341;16;26;7;76;45;10;16;11;11;13;14;51;65;11;8;9;8;2;9;NA;6;NA;NA;4;3;5;4;20;14;53;17
FDAARGOS_694;16;26;5;61;24;10;16;11;11;13;14;57;64;11;8;9;8;2;NA;NA;6;NA;NA;4;4;5;4;20;13;53;17
FDAARGOS_695;16;26;5;70;24;10;16;11;11;13;14;57;64;11;8;9;8;2;NA;NA;6;NA;NA;4;4;5;4;20;13;53;17
FDAARGOS_698;14;26;5;70;24;10;16;11;11;13;14;57;64;11;8;9;8;2;NA;NA;6;NA;NA;4;4;5;4;20;13;53;17
G12;11;27;6;28;45;10;15;10;11;13;13;6;65;9;8;6;6;2;6;9;5;24;3;5;3;3;3;23;15;53;17
H9401;13;30;7;28;45;10;16;11;11;13;11;46;56;9;8;9;8;2;7;8;5;21;5;6;4;4;4;20;14;57;17
Han;10;18;8;32;24;8;12;11;9;13;14;54;59;4;6;7;8;2;NA;NA;6;NA;NA;4;4;5;4;20;14;53;17
HF2012;16;28;7;76;45;10;16;11;11;13;14;51;65;11;8;9;8;2;10;9;6;21;4;4;3;5;3;20;14;52;17
HP2012;16;28;6;76;45;10;16;11;11;13;14;51;65;11;8;9;8;2;10;9;6;21;4;4;3;5;3;20;14;52;17
HP8;11;27;6;28;45;10;13;10;11;13;13;6;65;9;8;6;6;2;6;7;5;24;3;5;3;3;3;23;15;53;17
HP88;16;30;6;70;45;10;16;11;11;13;14;48;59;9;8;9;8;2;10;NA;6;NA;NA;4;5;4;4;20;14;57;17
